adm1_en,adm1_pcode,idp_total,idp_in_need,idp_planned_reach,idp_severity_max
Cherkaska,UA71,129758,78628,11794,3
Chernihivska,UA74,43954,25313,9474,5
Chernivetska,UA73,58093,34246,16161,3
Dnipropetrovska,UA12,517362,365387,206325,5
Donetska,UA14,38677,55285,41740,5
Ivano-Frankivska,UA26,100297,62082,9809,3
Kharkivska,UA63,314654,400598,294383,5
Khersonska,UA65,17253,23297,18903,5
Khmelnytska,UA68,93621,60289,15072,3
Kirovohradska,UA35,86943,52171,26086,3
Kyiv,UA80,359687,184996,42875,3
Kyivska,UA32,348993,168548,84209,3
Lvivska,UA46,189020,117001,58501,3
Mykolaivska,UA48,89659,102253,74301,5
Odeska,UA51,222010,137977,68989,3
Poltavska,UA53,175588,108114,54057,3
Rivnenska,UA56,55132,35218,6925,3
Sumska,UA59,79367,88470,66037,5
Ternopilska,UA61,76549,47383,10238,3
Vinnytska,UA05,124404,71599,34095,3
Volynska,UA07,44950,26453,11761,3
Zakarpatska,UA21,85221,52751,10702,3
Zaporizka,UA23,162175,230692,158679,5
Zhytomyrska,UA18,80718,42407,10107,3
